Nome,Quantidade,Componente
"Uacender o led especifico, Uled q pisca, Usemaforo 4 em 1.",3," Arduino Uno R3"
"D1, D4, D5, D8, D11, D14",6,"Vermelho LED"
"D2, D6, D9, D12, D15",5,"Amarelo LED"
"D3, D7, D10, D13, D16",5,"Verde LED"
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16",16,"1 kΩ Resistor"
"Sverde, Samarelo, Svermelho",3," Botão"
